Saltos  Ip             rtt              DRTT     Intentos
1       ['192.168.1.1']   64.1111111111         64.1111111111   18
2       ['201.254.128.1']   81.1333333333         17.0222222222   30
3       *****
4       ['200.51.208.90']   89.0666666667         7.93333333333   30
5       ['200.51.240.181']   88.9666666667         0.1   30
6       ['213.140.39.118']   84.2         4.76666666667   30
7       ['213.140.35.83']   84.9         0.7   30
8       ['213.140.53.77']   91.3333333333         6.43333333333   30
9       ['89.221.43.28']   396.666666667         305.333333333   30
10       ['149.3.183.45']   383.0         13.6666666667   30
