Saltos  Ip             rtt              DRTT
1       192.168.1.1   64.75         64.75
2       200.63.148.59   83.2         18.45
3       200.51.240.181   81.9         1.3
4       213.140.39.118   90.0         8.1
5       5.53.5.154   218.3         128.3
6       94.142.98.38   266.1         47.8
7       64.125.12.21   253.1         13.0
8       64.125.20.233   249.5         3.6
9       64.125.30.182   285.6         36.1
10       64.125.29.21   285.3         0.3
11       64.125.30.187   313.1         27.8
12       64.125.21.114   282.7         30.4
13       64.124.200.234   310.8         28.1
14       202.158.194.172   405.1         94.3
15       113.197.15.68   407.4         2.3
16       113.197.15.66   422.0         14.6
17       113.197.15.152   434.4         12.4
18       138.44.5.47   431.6         2.8
19       *****
20       *****
21       129.78.5.8   427.0         4.6
