Saltos  Ip             rtt              DRTT     Intentos
1       ['192.168.29.254']   62.2777777778         62.2777777778   18
2       ['10.26.128.1']   71.2333333333         8.95555555556   30
3       ['10.242.0.209']   64.7666666667         -6.46666666667   30
4       ['208.178.195.210']   68.3         3.53333333333   30
5       ['208.178.195.209']   82.7         14.4   30
6       ['4.68.72.66']   632.0         549.3   1
7       ['4.69.143.61']   371.047619048         -260.952380952   21
8       ['4.69.143.61', '4.68.72.66', '4.69.143.61']   448.88         77.8323809524   25
9       ['213.242.65.82']   377.916666667         -70.9633333333   24
10       ['90.147.80.74']   443.545454545         65.6287878788   22
11       ['90.147.80.61']   463.392857143         19.8474025974   28
12       ['193.204.217.18']   436.642857143         -26.75   28
13       ['193.204.157.77']   416.0         -20.6428571429   26
