Saltos  Ip             rtt              DRTT     Intentos
1       ['192.168.29.254']   62.6666666667         62.6666666667   18
2       ['10.26.128.1']   63.7333333333         1.06666666667   30
3       ['10.242.0.209']   71.4333333333         7.7   30
4       ['208.178.195.210']   69.4666666667         -1.96666666667   30
5       ['195.22.220.32']   72.5333333333         3.06666666667   30
6       ['195.22.206.92']   256.8         184.266666667   30
7       ['195.22.206.92']   249.333333333         -7.46666666667   30
8       ['216.6.87.202']   247.966666667         -1.36666666667   30
9       ['216.6.87.2']   292.8         44.8333333333   30
10       ['66.198.154.178']   289.933333333         -2.86666666667   30
11       ['63.243.152.146']   265.766666667         -24.1666666667   30
12       ['23.10.112.128']   318.533333333         52.7666666667   30
