Saltos  Ip             rtt              DRTT     Intentos
1       ['192.168.29.254']   65.3888888889         65.3888888889   18
2       ['10.26.128.1']   66.9666666667         1.57777777778   30
3       ['10.242.0.209']   66.4         -0.566666666667   30
4       ['195.22.220.33']   71.7666666667         5.36666666667   30
5       ['195.22.220.32']   85.7333333333         13.9666666667   30
6       ['195.22.206.92']   292.966666667         207.233333333   30
7       ['195.22.206.92']   322.566666667         29.6   30
8       ['216.6.87.202']   283.5         -39.0666666667   30
9       ['216.6.87.2']   313.533333333         30.0333333333   30
10       ['23.198.237.63']   264.6         -48.9333333333   30
