Media: 30.9025858865 Desvio Estandar: 41.5765047988 modifiedThompson: 78.8165801471

DRTT    outliers
33.6111111111    No
18.4    No
0.4    No
0.8    No
136.133333333    Si
16.6666666667    No
25.6    No
10.9333333333    No
38.9333333333    No
44.1333333333    No
6.93333333333    No
1.6    No
1.6    No
1.86666666667    No
156.766666667    Si
12.2666666667    No
4.03333333333    No
45.1666666667    No
79.6333333333    No
41.8666666667    No
21.5126436782    No
3.84084880637    No
8.06153846154    No
