Media: 30.1194699273 Desvio Estandar: 41.2141193979 modifiedThompson: 78.1296061427

DRTT    outliers
6.45098039216    No
23.5010004002    No
25.2244897959    No
39.2    No
153.57037037    Si
19.7383252818    No
40.1770186335    No
1.26984126984    No
31.6444444444    No
26.5043478261    No
21.6956521739    No
19.1176470588    No
8.19814241486    No
16.9055330634    No
158.953379953    Si
21.0815850816    No
3.59028914348    No
11.9848024316    No
17.5776397516    No
15.018115942    No
0.230392156863    No
22.6138107417    No
8.5    No
