Saltos  Ip             rtt              DRTT
1       192.168.1.1   61.7142857143         61.7142857143
2       200.63.148.59   76.9         15.1857142857
3       200.51.240.181   82.8         5.9
4       213.140.39.118   80.4         2.4
5       5.53.5.62   220.9         140.5
6       94.142.120.28   215.0         5.9
7       213.140.37.13   252.7         37.7
8       63.243.152.141   260.9         8.2
9       66.198.154.177   325.2         64.3
10       216.6.87.1   322.7         2.5
11       216.6.87.242   333.0         10.3
12       216.6.57.1   327.7         5.3
13       66.198.70.174   323.8         3.9
14       80.231.62.57   336.2         12.4
15       80.231.62.74   346.2         10.0
16       195.219.100.82   330.9         15.3
17       146.97.33.2   323.9         7.0
18       146.97.37.194   326.2         2.3
19       193.63.108.94   329.4         3.2
20       193.63.108.98   327.9         1.5
21       193.63.109.90   335.3         7.4
22       *****
23       *****
24       192.76.32.66   337.7         2.4
25       129.67.242.154   332.8         4.9
